Name,Source,Type,Rarity,Power,Attune-Requirement,Attune,Cursed,Ibs,Use,Proficiency-Tools,Quality-1,Quality-2,Quality-3,No-of-Mat,Mat-Base-Price,Mat-Total-Cost,Labor-Cost,Enchant-Cost,Resale-Normal,Total-Cost,Description
"Spell Scroll, 8th Level",DMG 200,Scroll,Legendary,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Special,,,1,"20,000","20,000","4,000","1,000","12,500","25,000","A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.

If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the scroll with no other effect.

The spell has the DC of 18 and the attack bonus of +10.

Homebrew Section
Anyone may use a spell scroll, however attempting to do so requires a Int (Arcana) check, DC 10 + spell level of the scroll. If successful the spell is cast. On failure, the action(s) are wasted as the caster can not decifer the scroll and nothing happens, but the scroll remains intact."
"Spell Scroll, 9th Level",DMG 200,Scroll,Legendary,Major,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Special,,,2,"20,000","40,000","5,000","5,000","25,000","50,000","A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.

If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the scroll with no other effect.

The spell has the DC of 19 and the attack bonus of +11.

Homebrew Section
Anyone may use a spell scroll, however attempting to do so requires a Int (Arcana) check, DC 10 + spell level of the scroll. If successful the spell is cast. On failure, the action(s) are wasted as the caster can not decifer the scroll and nothing happens, but the scroll remains intact."
Scroll of Protection from Aberrations,DMG 199,Scroll,Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Void,,,1,200,200,30,20,125,250,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents aberration creatures from entering or affecting anything within the cylinder. 

The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends. 

A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier. "
Scroll of Protection from Beasts,DMG 199,Scroll,Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Vital,,,1,200,200,30,20,125,250,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents beast creatures from entering or affecting anything within the cylinder. 

The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends. 

A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier. "
Scroll of Protection from Celestials,DMG 199,Scroll,Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Radiant,,,1,200,200,30,20,125,250,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents celestial creatures from entering or affecting anything within the cylinder. 

The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends. 

A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier. "
Scroll of Protection from Elementals,DMG 199,Scroll,Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Dimensional,,,1,200,200,30,20,125,250,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents elemental creatures from entering or affecting anything within the cylinder. 

The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends. 

A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier. "
Scroll of Protection from Fey,DMG 199,Scroll,Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Phantasmal,,,1,200,200,30,20,125,250,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents fey creatures from entering or affecting anything within the cylinder. 

The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends. 

A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier. "
Scroll of Protection from Fiends,DMG 199,Scroll,Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Fiendish,,,1,200,200,30,20,125,250,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents fiend creatures from entering or affecting anything within the cylinder. 

The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends. 

A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier. "
Scroll of Protection from Plants,DMG 199,Scroll,Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Vital,,,1,200,200,30,20,125,250,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents plant creatures from entering or affecting anything within the cylinder. 

The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends. 

A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier. "
Scroll of Protection from Undead,DMG 199,Scroll,Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Necrotic,,,1,200,200,30,20,125,250,"Using an action to read the scroll encloses you in a invisible barrier that extends from you to form a 5-foot radius, 10-foot-high cylinder. For 5 minutes, this barrier prevents undead creatures from entering or affecting anything within the cylinder. 

The cylinder moves with you and remains centered on you. However, if you move in such a way that a creature of the specified type would be inside the cylinder, the effect ends. 

A creature can attempt to overcome the barrier by using an action to make a DC 15 Charisma check. On a success, the creature ceases to be affected by the barrier. "
"Spell Scroll, 4th Level",DMG 200,Scroll,Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Special,,,1,200,200,30,20,125,250,"A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.

If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the scroll with no other effect.

The spell has the DC of 15 and the attack bonus of +7.

Homebrew Section
Anyone may use a spell scroll, however attempting to do so requires a Int (Arcana) check, DC 10 + spell level of the scroll. If successful the spell is cast. On failure, the action(s) are wasted as the caster can not decifer the scroll and nothing happens, but the scroll remains intact."
"Spell Scroll, 5th Level",DMG 200,Scroll,Rare,Major,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Special,,,2,200,400,50,50,250,500,"A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.

If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the scroll with no other effect.

The spell has the DC of 17 and the attack bonus of +9.

Homebrew Section
Anyone may use a spell scroll, however attempting to do so requires a Int (Arcana) check, DC 10 + spell level of the scroll. If successful the spell is cast. On failure, the action(s) are wasted as the caster can not decifer the scroll and nothing happens, but the scroll remains intact."
"Spell Scroll, 2nd Level",DMG 200,Scroll,Uncommon,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Special,,,1,60,60,10,5,38,75,"A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.

If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the scroll with no other effect.

The spell has the DC of 13 and the attack bonus of +5.

Homebrew Section
Anyone may use a spell scroll, however attempting to do so requires a Int (Arcana) check, DC 10 + spell level of the scroll. If successful the spell is cast. On failure, the action(s) are wasted as the caster can not decifer the scroll and nothing happens, but the scroll remains intact."
"Spell Scroll, 3rd Level",DMG 200,Scroll,Uncommon,Major,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Special,,,2,60,120,15,15,75,150,"A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.

If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the scroll with no other effect.

The spell has the DC of 15 and the attack bonus of +7.

Homebrew Section
Anyone may use a spell scroll, however attempting to do so requires a Int (Arcana) check, DC 10 + spell level of the scroll. If successful the spell is cast. On failure, the action(s) are wasted as the caster can not decifer the scroll and nothing happens, but the scroll remains intact."
"Spell Scroll, 6th Level",DMG 200,Scroll,Very-Rare,Minor,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Special,,,1,"2,000","2,000",400,100,"1,250","2,500","A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.

If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the scroll with no other effect.

The spell has the DC of 17 and the attack bonus of +9.

Homebrew Section
Anyone may use a spell scroll, however attempting to do so requires a Int (Arcana) check, DC 10 + spell level of the scroll. If successful the spell is cast. On failure, the action(s) are wasted as the caster can not decifer the scroll and nothing happens, but the scroll remains intact."
"Spell Scroll, 7th Level",DMG 200,Scroll,Very-Rare,Major,,FALSE,FALSE,-,Single,Calligraphers-Supplies,Special,,,2,"2,000","4,000",800,200,"2,500","5,000","A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.

If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a failed check, the spell disappears from the scroll with no other effect.

The spell has the DC of 18 and the attack bonus of +10.

Homebrew Section
Anyone may use a spell scroll, however attempting to do so requires a Int (Arcana) check, DC 10 + spell level of the scroll. If successful the spell is cast. On failure, the action(s) are wasted as the caster can not decifer the scroll and nothing happens, but the scroll remains intact."
Staff of Adornment,XGE 139,Staff,Common,Minor,,FALSE,FALSE,4.00,Permanent,Woodcarvers-Tools,Tempest,,,7,20,140,33,2,88,175,"If you place an object weighing no more than 1 pound (such as a shard of crystal, an egg, or a stone) above the tip of the staff while holding it, the object floats an inch from the staffs tip and remains there until it is removed or until the staff is no longer in your possession. The staff can have up to three such objects floating over its tip at any given time. While holding the staff, you can make one or more of the objects slowly spin or turn in place.

Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Staff of Birdcalls,XGE 139,Staff,Common,Minor,,FALSE,FALSE,4.00,Limited,Woodcarvers-Tools,Phantasmal ,,,3,20,60,13,2,38,75,"This wooden staff is decorated with bird carvings. It has 10 charges. While holding it, you can use an action to expend 1 charge from the staff and cause it to create one of the following sounds out to a range of 60 feet: a finchs chirp, a ravens caw, a ducks quack, a chickens cluck, a gooses honk, a loons call, a turkeys gobble, a seagulls cry, an owls hoot, or an eagles shriek.

The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff explodes in a harmless cloud of bird feathers and is lost forever.

Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Staff of Flowers,XGE 139,Staff,Common,Minor,,FALSE,FALSE,4.00,Limited,Woodcarvers-Tools,Phantasmal ,,,3,20,60,13,2,38,75,"This wooden staff has 10 charges. While holding it, you can use an action to expend 1 charge from the staff and cause a flower to sprout from a patch of earth or soil within 5 feet of you, or from the staff itself. Unless you choose a specific kind of flower, the staff creates a mildscented daisy. The flower is harmless and nonmagical, and it grows or withers as a normal flower would. The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff turns into flower petals and is lost forever.

Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Staff of the Magi,DMG 203,Staff,Legendary,Major,"sorcerer, warlock, or wizard",TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Chaotic,Inert,Theurgic,6,"20,000","120,000","25,000","5,000","75,000","150,000","This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While you hold it, you gain a +2 bonus to spell attack rolls.

The staff has 50 charges for the following properties. It regains 4d6 + 2 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 20, the staff regains 1d12 + 1 charges.

Spell Absorption. While holding the staff, you have advantage on saving throws against spells. In addition, you can use your reaction when another creature casts a spell that targets only you. If you do, the staff absorbs the magic of the spell, canceling its effect and gaining a number of charges equal to the absorbed spells level. However, if doing so brings the staffs total number of charges above 50, the staff explodes as if you activated its retributive strike (see below).

Spells. While holding the staff, you can use an action to expend some of its charges to cast one of the following spells from it, using your spell save DC and spellcasting ability: conjure elemental (7 charges), dispel magic (3 charges), fireball (7th-level version, 7 charges), flaming sphere (2 charges), ice storm (4 charges), invisibility (2 charges), knock (2 charges), lightning bolt (7th-level version, 7 charges), passwall (5 charges), plane shift (7 charges), telekinesis (5 charges), wall of fire (4 charges), or web (2 charges).

You can also use an action to cast one of the following spells from the staff without using any charges: arcane lock, detect magic, enlarge/reduce, light, mage hand, or protection from evil and good.

Retributive Strike. You can use an action to break the staff over your knee or against a solid surface, performing a retributive strike. The staff is destroyed and releases its remaining magic in an explosion that expands to fill a 30-foot-radius sphere centered on it.

You have a 50 percent chance to instantly travel to a random plane of existence, avoiding the explosion. If you fail to avoid the effect, you take force damage equal to 16 × the number of charges in the staff. Every other creature in the area must make a DC 17 Dexterity saving throw. On a failed save, a creature takes an amount of damage based on how far away it is from the point of origin, as shown in the following table. On a successful save, a creature takes half as much damage."
Staff of Charming,DMG 201,Staff,Rare,Major,"bard, cleric, druid, sorcerer, warlock, or wizard",TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Psychic,Theurgic,,6,200,"1,200",250,50,750,"1,500","While holding this staff, you can use an action to expend 1 of its 10 charges to cast charm person, command, or comprehend languages from it using your spell save DC. The staff can also be used as a magic quarterstaff.

If you are holding the staff and fail a saving throw against an enchantment spell that targets only you, you can turn your failed save into a successful one. You cant use this property of the staff again until the next dawn. If you succeed on a save against an enchantment spell that targets only you, with or without the staffs intervention, you can use your reaction to expend 1 charge from the staff and turn the spell back on its caster as if you had cast the spell.

The staff regains 1d8 + 2 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff becomes a nonmagical quarterstaff."
Staff of Healing,DMG 202,Staff,Rare,Major,"bard, cleric, or druid",TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Vital,Theurgic,,6,200,"1,200",250,50,750,"1,500","This staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC and spellcasting ability modifier: cure wounds (1 charge per spell level, up to 4th), lesser restoration (2 charges), or mass cure wounds (5 charges).

The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff vanishes in a flash of light, lost forever."
Staff of Swarming Insects,DMG 203,Staff,Rare,Major,"bard, cleric, druid, sorcerer, warlock, or wizard",TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Dimensional,Theurgic,Vital,6,200,"1,200",250,50,750,"1,500","attunement by a bard, cleric, druid, sorcerer, warlock, or wizard
This staff has 10 charges and regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, a swarm of insects consumes and destroys the staff, then disperses.

Spells. While holding the staff, you can use an action to expend some of its charges to cast one of the following spells from it, using your spell save DC: giant insect (4 charges) or insect plague (5 charges).

Insect Cloud. While holding the staff, you can use an action and expend 1 charge to cause a swarm of harmless flying insects to spread out in a 30-foot radius from you. The insects remain for 10 minutes, making the area heavily obscured for creatures other than you. The swarm moves with you, remaining centered on you. A wind of at least 10 miles per hour disperses the swarm and ends the effect."
Staff of the Woodlands,DMG 204,Staff,Rare,Major,druid,TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Mercurial,Theurgic,Vital,6,200,"1,200",250,50,750,"1,500","This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While holding it, you have a +2 bonus to spell attack rolls.

The staff has 10 charges for the following properties. It regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff loses its properties and becomes a nonmagical quarterstaff.

Spells
You can use an action to expend 1 or more of the staffs charges to cast one of the following spells from it, using your spell save DC:

animal friendship (1 charge)
awaken (5 charges)
barkskin (2 charges)
locate animals or plants (2 charges)
speak with animals (1 charge)
speak with plants (3 charges)
wall of thorns (6 charges).
You can also use an action to cast the pass without trace spell from the staff without using any charges.

Tree Form. You can use an action to plant one end of the staff in fertile earth and expend 1 charge to transform the staff into a healthy tree. The tree is 60 feet tall and has a 5-foot-diameter trunk, and its branches at the top spread out in a 20-foot radius. The tree appears ordinary but radiates a faint aura of transmutation magic if targeted by detect magic. While touching the tree and using another action to speak its command word, you return the staff to its normal form. Any creature in the tree falls when it reverts to a staff."
Staff of Withering,DMG 205,Staff,Rare,Major,"cleric, druid, or warlock",TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Necrotic,Theurgic,,6,200,"1,200",250,50,750,"1,500","This staff has 3 charges and regains 1d3 expended charges daily at dawn.

The staff can be wielded as a magic quarterstaff. On a hit, it deals damage as a normal quarterstaff, and you can expend 1 charge to deal an extra 2d10 necrotic damage to the target. In addition, the target must succeed on a DC 15 Constitution saving throw or have disadvantage for 1 hour on any ability check or saving throw that uses Strength or Constitution."
Staff of the Adder,DMG 203,Staff,Uncommon,Major,"cleric, druid, or warlock",TRUE,FALSE,4.00,Permanent,Woodcarvers-Tools,Mercurial,Poisonous,,8,60,480,105,15,300,600,"attunement by a cleric, druid, or warlock
You can use a bonus action to speak this staffs command word and make the head of the staff become that of an animate poisonous snake for 1 minute. By using another bonus action to speak the command word again, you return the staff to its normal inanimate form. 

You can make a melee attack using the snake head, which has a reach of 5 feet. Your proficiency bonus applies to the attack roll. On a hit, the target takes 1d6 piercing damage and must succeed on a DC 15 Constitution saving throw or take 3d6 poison damage. 

The snake head can be attacked while it is animate. It has an Armor Class of 15 and 20 hit points. If the head drops to 0 hit points, the staff is destroyed. As long as its not destroyed, the staff regains all lost hit points when it reverts to its inanimate form. "
Staff of the Python,DMG 204,Staff,Uncommon,Major,"cleric, druid, or warlock",TRUE,FALSE,4.00,Permanent,Woodcarvers-Tools,Mercurial,Poisonous,,8,60,480,105,15,300,600,"You can use an action to speak this staffs command word and throw the staff on the ground within 10 feet of you. The staff becomes a giant constrictor snake under your control and acts on its own initiative count. By using a bonus action to speak the command word again, you return the staff to its normal form in a space formerly occupied by the snake.

On your turn, you can mentally command the snake if it is within 60 feet of you and you arent incapacitated. You decide what action the snake takes and where it moves during its next turn, or you can issue it a general command, such as to attack your enemies or guard a location.

If the snake is reduced to 0 hit points, it dies and reverts to its staff form. The staff then shatters and is destroyed. If the snake reverts to staff form before losing all its hit points, it regains all of them."
Staff of Fire,DMG 201,Staff,Very-Rare,Major,"druid, sorcerer, warlock, or wizard",TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Fiery,Theurgic,,6,"2,000","12,000","2,800",200,"7,500","15,000","You have resistance to fire damage while you hold this staff.

The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: burning hands (1 charge), fireball (3 charges), or wall of fire (4 charges).

The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff blackens, crumbles into cinders, and is destroyed."
Staff of Frost,DMG 202,Staff,Very-Rare,Major,"druid, sorcerer, warlock, or wizard",TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Cold,Theurgic,,6,"2,000","12,000","2,800",200,"7,500","15,000","You have resistance to cold damage while you hold this staff.

The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: cone of cold (5 charges), fog cloud (1 charge), ice storm (4 charges), or wall of ice (4 charges).

The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff turns to water and is destroyed."
Staff of Power,DMG 202,Staff,Very-Rare,Major,"sorcerer, warlock, or wizard",TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Chaotic,Forceful,Theurgic,6,"2,000","12,000","2,800",200,"7,500","15,000","This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While holding it, you gain a +2 bonus to Armor Class, saving throws, and spell attack rolls.

The staff has 20 charges for the following properties. The staff regains 2d8 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff retains its +2 bonus to attack and damage rolls but loses all other properties. On a 20, the staff regains 1d8 + 2 charges.

Power Strike. When you hit with a melee attack using the staff, you can expend 1 charge to deal an extra 1d6 force damage to the target.

Spells. While holding this staff, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC and spell attack bonus: cone of cold (5 charges), fireball (5th-level version, 5 charges), globe of invulnerability (6 charges), hold monster (5 charges), levitate (2 charges), lightning bolt (5th-level version, 5 charges), magic missile (1 charge), ray of enfeeblement (1 charge), or wall of force (5 charges).

Retributive Strike. You can use an action to break the staff over your knee or against a solid surface, performing a retributive strike. The staff is destroyed and releases its remaining magic in an explosion that expands to fill a 30-foot-radius sphere centered on it.

You have a 50 percent chance to instantly travel to a random plane of existence, avoiding the explosion. If you fail to avoid the effect, you take force damage equal to 16 × the number of charges in the staff. Every other creature in the area must make a DC 17 Dexterity saving throw. On a failed save, a creature takes an amount of damage based on how far away it is from the point of origin, as shown in the following table. On a successful save, a creature takes half as much damage."
Staff of Striking,DMG 203,Staff,Very-Rare,Major,none,TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Forceful,Theurgic,,6,"2,000","12,000","2,800",200,"7,500","15,000","This staff can be wielded as a magic quarterstaff that grants a +3 bonus to attack and damage rolls made with it.

The staff has 10 charges. When you hit with a melee attack using it, you can expend up to 3 of its charges. For each charge you expend, the target takes an extra 1d6 force damage. The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff becomes a nonmagical quarterstaff."
Staff of Thunder and Lightning,DMG 204,Staff,Very-Rare,Major,none,TRUE,FALSE,4.00,Charged,Woodcarvers-Tools,Lightning,Thundering,Theurgic,6,"2,000","12,000","2,800",200,"7,500","15,000","This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. It also has the following additional properties. When one of these properties is used, it cant be used again until the next dawn.

Lightning. When you hit with a melee attack using the staff, you can cause the target to take an extra 2d6 lightning damage.

Thunder. When you hit with a melee attack using the staff, you can cause the staff to emit a crack of thunder, audible out to 300 feet. The target you hit must succeed on a DC 17 Constitution saving throw or become stunned until the end of your next turn.

Lightning Strike. You can use an action to cause a bolt of lightning to leap from the staffs tip in a line that is 5 feet wide and 120 feet long. Each creature in that line must make a DC 17 Dexterity saving throw, taking 9d6 lightning damage on a failed save, or half as much damage on a successful one.

Thunderclap. You can use an action to cause the staff to issue a deafening thunderclap, audible out to 600 feet. Each creature within 60 feet of you (not including you) must make a DC 17 Constitution saving throw. On a failed save, a creature takes 2d6 thunder damage and becomes deafened for 1 minute. On a successful save, a creature takes half damage and isnt deafened.

Thunder and Lightning. You can use an action to use the Lightning Strike and Thunderclap properties at the same time. Doing so doesnt expend the daily use of those properties, only the use of this one."
Masquerade Tattoo,TCE 131,Tattoo,Common,Major,none,TRUE,FALSE,,Charged,Tattoo-Kit,Mercurial ,Theurgic,,6,20,120,25,5,75,150,"Produced by a special needle, this magic tattoo appears on your body as whatever you desire.

Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.
If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.

Fluid Ink. As a bonus action, you can shape the tattoo into any color or pattern and move it to any area of your skin. Whatever form it takes, it is always obviously a tattoo. It can range in size from no smaller than a copper piece to an intricate work of art that covers all your skin.
Disguise Self. As an action, you can use the tattoo to cast the disguise self spell (DC 13 to discern the disguise). Once the spell is cast from the tattoo, it cant be cast from the tattoo again until the next dawn."
"Spellwrought Tattoo, 1st Spell Level",TCE 135,Tattoo,Common,Major,,FALSE,FALSE,-,Single,Tattoo-Kit,Theurgic,Special,,2,20,40,5,5,25,50,"Produced by a special needle, this magic tattoo contains a single 1st level spell, wrought on your skin by a magic needle. To use the tattoo, you must hold the needle against your skin and speak the command word. The needle turns into ink that becomes the tattoo, which appears on the skin in whatever design you like. Once the tattoo is there, you can cast its spell, requiring no material components. The tattoo glows faintly while you cast the spell and for the spells duration. Once the spell ends, the tattoo vanishes from your skin.

The Ability modifier for this spell is +3; the Save DC is 13 and the attack bonus is +5."
"Spellwrought Tattoo, Cantrip",TCE 135,Tattoo,Common,Minor,,FALSE,FALSE,-,Single,Tattoo-Kit,Theurgic,,,1,20,20,3,2,13,25,"Produced by a special needle, this magic tattoo contains a single cantrip, wrought on your skin by a magic needle. To use the tattoo, you must hold the needle against your skin and speak the command word. The needle turns into ink that becomes the tattoo, which appears on the skin in whatever design you like. Once the tattoo is there, you can cast its spell, requiring no material components. The tattoo glows faintly while you cast the spell and for the spells duration. Once the spell ends, the tattoo vanishes from your skin.

The Ability modifier for this spell is +3; the Save DC is 13 and the attack bonus is +5."
