'eldritch cartilage': {'void', 'creature', 'psychic', 'cr-value', 'aberration', 'special', 'bone', },
'eoshander': {'poisonous', 'plant', 'chaotic', 'dimensional', 'rare', 'wood', 'non-mineral', },
'fire tree': {'fiery', 'plant', 'chaotic', 'radiant', 'rare', 'wood', 'non-mineral', },
'hedgthock': {'plant', 'vital', 'inert', 'rare', 'wood', 'thunder', 'non-mineral', },
'moon larch': {'cold', 'plant', 'mercurial', 'rare', 'wood', 'phantasmal', 'non-mineral', },
'silver strongbark': {'forceful', 'cold', 'plant', 'inert', 'rare', 'wood', 'non-mineral', },
'spiky spruce': {'plant', 'vital', 'chaotic', 'fiendish', 'rare', 'wood', 'non-mineral', },
'xorian wenge': {'psychic', 'plant', 'theurgic', 'rare', 'wood', 'phantasmal', 'non-mineral', },
'ashant': {'fiery', 'plant', 'theurgic', 'uncommon', 'wood', 'lightning', 'non-mineral', },
'barbed maple': {'forceful', 'plant', 'uncommon', 'inert', 'fiendish', 'wood', 'non-mineral', },
'bouncing yew': {'plant', 'mercurial', 'uncommon', 'chaotic', 'dimensional', 'wood', 'non-mineral', },
'corrupting wood': {'void', 'psychic', 'plant', 'uncommon', 'necrotic', 'wood', 'non-mineral', },
'eevleech': {'psychic', 'plant', 'vital', 'uncommon', 'theurgic', 'wood', 'non-mineral', },
'fjord cypress': {'cold', 'plant', 'tempest', 'uncommon', 'wood', 'thunder', 'non-mineral', },
'glowing beech': {'poisonous', 'plant', 'uncommon', 'radiant', 'wood', 'phantasmal', 'non-mineral', },
'ironwood': {'forceful', 'plant', 'vital', 'uncommon', 'inert', 'wood', 'non-mineral', },
'marsh bamboo': {'poisonous', 'plant', 'mercurial', 'uncommon', 'wood', 'lightning', 'non-mineral', },
'stink oak': {'poisonous', 'acidic', 'plant', 'uncommon', 'wood', 'phantasmal', 'non-mineral', },
'aavock': {'lightning', 'plant', 'tempest', 'wood', 'very-rare', 'thunder', 'non-mineral', },
'angel yew': {'plant', 'theurgic', 'vital', 'radiant', 'wood', 'very-rare', 'non-mineral', },
'eechess': {'fiery', 'plant', 'vital', 'fiendish', 'wood', 'very-rare', 'non-mineral', },
'heddus': {'void', 'psychic', 'plant', 'necrotic', 'wood', 'very-rare', 'non-mineral', },
'mammoth aspen': {'forceful', 'plant', 'vital', 'inert', 'wood', 'very-rare', 'non-mineral', },
'ochant': {'psychic', 'plant', 'dimensional', 'wood', 'very-rare', 'phantasmal', 'non-mineral', },
'pink hornbeam': {'plant', 'chaotic', 'dimensional', 'wood', 'very-rare', 'phantasmal', 'non-mineral', },
'sove': {'cold', 'plant', 'mercurial', 'tempest', 'wood', 'very-rare', 'non-mineral', },
'toxic tree': {'poisonous', 'acidic', 'plant', 'psychic', 'wood', 'very-rare', 'non-mineral', },
'phantom ash': {'cold', 'plant', 'dimensional', 'wood', 'very-rare', 'phantasmal', 'non-mineral', },
