'acid splash ': {'conjuration', '60 ft', 'instantaneous', 'cantrip', '1 action', },
'holy weapon ': {'1 bonus action', 'evocation', '5th level', '1 hour', 'touch', },
'immolation ': {'1 minute', '90 ft', '1 action', '5th level', 'evocation', },
'infernal calling ': {'conjuration', '1 minute', '90 ft', '5th level', '1 hour', },
'insect plague ': {'conjuration', '10 minutes', '300 ft', '1 action', '5th level', },
'legend lore ': {'10 minutes', 'instantaneous', 'self', '5th level', 'divination', },
'maelstrom ': {'120 ft', '1 minute', '1 action', '5th level', 'evocation', },
'mass cure wounds ': {'60 ft', 'instantaneous', '1 action', '5th level', 'evocation', },
'mislead ': {'self', 'illusion', '1 action', '5th level', '1 hour', },
'modify memory ': {'30 ft', 'enchantment', '1 minute', '1 action', '5th level', },
'negative energy flood ': {'60 ft', 'instantaneous', 'necromancy', '1 action', '5th level', },
'passwall ': {'30 ft', '1 action', '5th level', '1 hour', 'transmutation', },
'planar binding ': {'60 ft', '5th level', '1 hour', 'abjuration', '24 hours', },
'raise dead ': {'instantaneous', 'necromancy', '5th level', '1 hour', 'touch', },
'rary's telepathic bond ': {'30 ft', '1 action', '5th level', '1 hour', 'divination', },
'reincarnate ': {'instantaneous', '5th level', 'transmutation', '1 hour', 'touch', },
'scrying ': {'10 minutes', 'self', '5th level', 'divination', },
'seeming ': {'8 hours', '30 ft', 'illusion', '1 action', '5th level', },
'skill empowerment ': {'5th level', '1 action', 'transmutation', '1 hour', 'touch', },
'steel wind strike ': {'conjuration', 'instantaneous', '30 ft', '1 action', '5th level', },
'summon celestial': {'conjuration', '90 ft', '1 action', '5th level', '1 hour', },
'swift quiver ': {'1 bonus action', '5th level', '1 minute', 'transmutation', 'touch', },
'synaptic static ': {'instantaneous', 'enchantment', '1 action', '5th level', '120 ft (20 ft )', },
'telekinesis ': {'60 ft', '10 minutes', '5th level', '1 action', 'transmutation', },
'telepathic bond': {'30 ft', '1 action', '5th level', '1 hour', 'divination', },
'teleportation circle ': {'conjuration', '1 minute', '10 ft', '5th level', '1 round', },
'transmute rock ': {'120 ft', 'until dispelled', '5th level', '1 action', 'transmutation', },
'tree stride ': {'conjuration', '1 minute', 'self', '1 action', '5th level', },
'wall of force ': {'120 ft', '10 minutes', '1 action', '5th level', 'evocation', },
'wall of light ': {'120 ft', '10 minutes', '1 action', '5th level', 'evocation', },
'wall of stone ': {'120 ft', '10 minutes', '1 action', '5th level', 'evocation', },
'wrath of nature ': {'120 ft', '1 minute', '1 action', '5th level', 'evocation', },
'arcane gate ': {'conjuration', '10 minutes', '6th level', '1 action', '500 ft', },
'blade barrier ': {'10 minutes', '6th level', '90 ft', '1 action', 'evocation', },
'bones of the earth ': {'120 ft', 'instantaneous', '6th level', '1 action', 'transmutation', },
'chain lightning ': {'instantaneous', '150 ft', '6th level', '1 action', 'evocation', },
'circle of death ': {'necromancy', 'instantaneous', '150 ft', '6th level', '1 action', },
'conjure fey ': {'conjuration', '1 minute', '6th level', '90 ft', '1 hour', },
'contingency ': {'10 minutes', 'self', '6th level', 'evocation', '10 days', },
'create homunculus ': {'instantaneous', '6th level', 'transmutation', '1 hour', 'touch', },
'create undead ': {'necromancy', '6th level', '1 minute', 'instantaneous', '10 ft', },
'disintegrate ': {'60 ft', 'instantaneous', '6th level', '1 action', 'transmutation', },
'drawmij's instant summons ': {'conjuration', 'until dispelled', '1 minute', '6th level', 'touch', },
'druid grove ': {'10 minutes', '6th level', '24 hours', 'touch', 'abjuration', },
'eyebite ': {'necromancy', '1 minute', 'self', '6th level', '1 action', },
'find the path ': {'1 minute', 'self', '6th level', '1 day', 'divination', },
'flesh to stone ': {'60 ft', '1 minute', '6th level', '1 action', 'transmutation', },
'forbiddance ': {'10 minutes', '6th level', 'touch', 'abjuration', '1 day', },
'freezing sphere': {'300 ft', 'instantaneous', '6th level', '1 action', 'evocation', },
'globe of invulnerability ': {'1 minute', 'self', '6th level', '1 action', 'abjuration', },
'guards and wards ': {'10 minutes', '6th level', '24 hours', 'touch', 'abjuration', },
'harm ': {'60 ft', 'necromancy', 'instantaneous', '6th level', '1 action', },
'heal ': {'60 ft', 'instantaneous', '6th level', '1 action', 'evocation', },
'heroes' feast ': {'conjuration', '10 minutes', 'instantaneous', '30 ft', '6th level', },
'instant summons': {'conjuration', 'until dispelled', '1 minute', '6th level', 'touch', },
'investiture of flame ': {'10 minutes', 'self', '6th level', '1 action', 'transmutation', },
'investiture of ice ': {'10 minutes', 'self', '6th level', '1 action', 'transmutation', },
'investiture of stone ': {'10 minutes', 'self', '6th level', '1 action', 'transmutation', },
'investiture of wind ': {'10 minutes', 'self', '6th level', '1 action', 'transmutation', },
'magic jar ': {'necromancy', 'until dispelled', '1 minute', 'self', '6th level', },
'mass suggestion ': {'60 ft', 'enchantment', '6th level', '1 action', '24 hours', },
'mental prison ': {'60 ft', '1 minute', '6th level', 'illusion', '1 action', },
'move earth ': {'120 ft', '2 hours', '6th level', '1 action', 'transmutation', },
'otiluke's freezing sphere': {'300 ft', 'instantaneous', '6th level', '1 action', 'evocation', },
'otiluke's freezing sphere ': {'1 minute', 'self', '6th level', '1 action', 'evocation', },
'otto's irresistible dance ': {'30 ft', 'enchantment', '1 minute', '6th level', '1 action', },
'planar ally ': {'conjuration', '60 ft', '10 minutes', 'instantaneous', '6th level', },
'primordial ward ': {'1 minute', 'self', '6th level', '1 action', 'abjuration', },
'programmed illusion ': {'120 ft', 'until dispelled', '6th level', 'illusion', '1 action', },
'scatter ': {'conjuration', 'instantaneous', '30 ft', '6th level', '1 action', },
'soul cage ': {'60 ft', 'necromancy', '1 reaction *', '8 hours', '6th level', },
'summon fiend': {'conjuration', '6th level', '90 ft', '1 action', '1 hour', },
'sunbeam ': {'evocation', '1 minute', '6th level', '1 action', 'self (60 ft )', },
'tasha's otherworldy guise': {'1 bonus action', '1 minute', 'self', '6th level', 'transmutation', },
'tenser's transformation ': {'10 minutes', 'self', '6th level', '1 action', 'transmutation', },
'transport via plants ': {'conjuration', '6th level', '10 ft', '1 action', '1 round', },
'true seeing ': {'6th level', '1 action', '1 hour', 'touch', 'divination', },
'wall of ice ': {'120 ft', '10 minutes', '6th level', '1 action', 'evocation', },
'wall of thorns ': {'conjuration', '120 ft', '10 minutes', '6th level', '1 action', },
'wind walk ': {'8 hours', '30 ft', '1 minute', '6th level', 'transmutation', },
'word of recall ': {'conjuration', 'instantaneous', '6th level', '1 action', '5 ft', },
'conjure celestial ': {'conjuration', '1 minute', '7th level', '90 ft', '1 hour', },
'crown of stars ': {'7th level', 'self', '1 action', '1 hour', 'evocation', },
'delayed blast fireball ': {'150 ft', '1 minute', '7th level', '1 action', 'evocation', },
'divine word ': {'1 bonus action', 'instantaneous', '30 ft', '7th level', 'evocation', },
'dream of the blue veil': {'conjuration', '10 minutes', '7th level', '20 ft', },
'etherealness ': {'8 hours', '7th level', 'self', '1 action', 'transmutation', },
'finger of death ': {'60 ft', 'instantaneous', '7th level', 'necromancy', '1 action', },
'fire storm ': {'instantaneous', '150 ft', '7th level', '1 action', 'evocation', },
'forcecage ': {'7th level', '1 action', '100 ft', '1 hour', 'evocation', },
'magnificent mansion': {'conjuration', '1 minute', '7th level', '300 ft', '24 hours', },
'mirage arcane ': {'10 minutes', '7th level', 'sight', 'illusion', '10 days', },
'mordenkainen's magnificent mansion ': {'conjuration', '1 minute', '7th level', '300 ft', '24 hours', },
'mordenkainen's sword ': {'60 ft', '1 minute', '7th level', '1 action', 'evocation', },
'plane shift ': {'conjuration', 'instantaneous', '7th level', '1 action', 'touch', },
'power word pain ': {'60 ft', 'instantaneous', 'enchantment', '7th level', '1 action', },
'prismatic spray ': {'instantaneous', '7th level', 'self', '1 action', 'evocation', },
'project image ': {'500 miles', '7th level', 'illusion', '1 action', '1 day', },
'regenerate ': {'1 minute', '7th level', 'transmutation', '1 hour', 'touch', },
'resurrection ': {'instantaneous', '7th level', 'necromancy', '1 hour', 'touch', },
'reverse gravity ': {'1 minute', '7th level', '100 ft', '1 action', 'transmutation', },
'sequester ': {'until dispelled', '7th level', '1 action', 'transmutation', 'touch', },
'simulacrum ': {'until dispelled', '12 hours', '7th level', 'illusion', 'touch', },
'symbol ': {'until dispelled or triggered', '1 minute', '7th level', 'touch (60 ft )', 'abjuration', },
'teleport ': {'conjuration', 'instantaneous', '7th level', '10 ft', '1 action', },
'temple of the gods ': {'conjuration', '120 ft', '7th level', '1 hour', '24 hours', },
'whirlwind ': {'1 minute', '7th level', '300 ft', '1 action', 'evocation', },
'abi-dalzim's horrid wilting ': {'instantaneous', '8th level', '150 ft', 'necromancy', '1 action', },
'animal shapes ': {'8th level', '30 ft', '1 action', 'transmutation', '24 hours', },
'antimagic field ': {'8th level', 'self', '1 action', '1 hour', 'abjuration', },
'antipathy/sympathy ': {'60 ft', '8th level', 'enchantment', '1 hour', '10 days', },
'clone ': {'instantaneous', '8th level', 'necromancy', '1 hour', 'touch', },
'control weather ': {'10 minutes', '8 hours', '8th level', 'self', 'transmutation', },
'demiplane ': {'conjuration', '60 ft', '8th level', '1 action', '1 hour', },
'dominate monster ': {'60 ft', '8th level', 'enchantment', '1 action', '1 hour', },
'earthquake ': {'evocation', '8th level', '1 minute', '1 action', '500 ft', },
'feeblemind ': {'instantaneous', '8th level', '150 ft', 'enchantment', '1 action', },
'glibness ': {'8th level', 'self', '1 action', 'transmutation', '1 hour', },
'holy aura ': {'8th level', '1 minute', 'self', '1 action', 'abjuration', },
'illusory dragon ': {'120 ft', '8th level', '1 minute', 'illusion', '1 action', },
'incendiary cloud ': {'conjuration', '8th level', '150 ft', '1 minute', '1 action', },
'maddening darkness ': {'10 minutes', '8th level', '150 ft', '1 action', 'evocation', },
'maze ': {'conjuration', '60 ft', '10 minutes', '8th level', '1 action', },
'mighty fortress ': {'conjuration', 'instantaneous', '8th level', '1 mile', '1 minute', },
'mind blank ': {'8th level', '1 action', '24 hours', 'touch', 'abjuration', },
'power word stun ': {'60 ft', 'instantaneous', '8th level', 'enchantment', '1 action', },
'sunburst ': {'instantaneous', '8th level', '1 action', '150 ft (60 ft )', 'evocation', },
'telepathy ': {'8th level', 'unlimited', '1 action', '24 hours', 'evocation', },
'tsunami ': {'conjuration', '6 rounds', '8th level', '1 minute', 'sight', },
'astral projection ': {'necromancy', '10 ft', '9th level', 'special', '1 hour', },
'blade of disaster': {'conjuration', '60 ft', '1 bonus action', '1 minute', '9th level', },
'foresight ': {'8 hours', '1 minute', '9th level', 'touch', 'divination', },
'gate ': {'conjuration', '60 ft', '1 minute', '9th level', '1 action', },
'imprisonment ': {'until dispelled', '1 minute', '30 ft', '9th level', 'abjuration', },
'invulnerability ': {'10 minutes', 'self', '9th level', '1 action', 'abjuration', },
'mass heal ': {'60 ft', 'instantaneous', '9th level', '1 action', 'evocation', },
'mass polymorph ': {'120 ft', '9th level', '1 action', 'transmutation', '1 hour', },
'meteor swarm ': {'instantaneous', '1 mile', '9th level', '1 action', 'evocation', },
'power word heal ': {'evocation', 'instantaneous', '9th level', '1 action', 'touch', },
'power word kill ': {'60 ft', 'instantaneous', 'enchantment', '9th level', '1 action', },
'prismatic wall ': {'60 ft', '10 minutes', '9th level', '1 action', 'abjuration', },
'psychic scream ': {'instantaneous', 'enchantment', '9th level', '90 ft', '1 action', },
'shapechange ': {'self', '9th level', '1 action', 'transmutation', '1 hour', },
'storm of vengeance ': {'conjuration', '1 minute', 'sight', '9th level', '1 action', },
'time stop ': {'instantaneous', 'self', '9th level', '1 action', 'transmutation', },
'true polymorph ': {'30 ft', '9th level', '1 action', 'transmutation', '1 hour', },
'true resurrection ': {'instantaneous', 'necromancy', '9th level', '1 hour', 'touch', },
'weird ': {'120 ft', '1 minute', '9th level', 'illusion', '1 action', },
'wish ': {'conjuration', 'instantaneous', 'self', '9th level', '1 action', },
