Item,Source,Type,Subtype,Subtype2,Proficiency,Shop-Type,Availability,Primary-Materials,Secondary-Materials,Add-On-Materials,lbs,Mat-Base-Price,Material-Cost,Labor-Cost,Resale- Value-Low,Resale-Value-High,Resale-Value-Normal,Cost-Low,Cost-High,Total-Cost,Text
"Torpor, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Premium-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,192.00,384.00,96.00,144.00,288.00,192.00,480.00,840.00,600.00,Ingested. A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 1 hours. The poisoned creature cannot use their dexterity modifier (if above 0) for dexterity checks or saves.
"Wyvern Poison, Dose",DMG,Gear,Poison,,Poisoners-Kit,Shady-Dealer,Special-Access,Fluid,Glass,"Flesh, Gem, Metal ,Mineral, Plant",-,384.00,768.00,192.00,288.00,576.00,384.00,960.00,"1,680.00","1,200.00","Injury. A creature subjected to this poison must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.

This poison must be harvested from a dead or incapacitated wyvern. "
Snake-Vine Balm,EGW,Gear,Salve,,Herbalism-Kit,Potion-Shop,Premium-Access,Plant,,,-,60.00,60.00,15.00,22.50,45.00,30.00,72.00,126.00,90.00,"This paste made from the Snake Vine is known to help prevent sunburn, but it is also a fire retardant. After spending 1 minute applying a quarter pint of muroosa balm to your skin, you gain resistance against fire damage for 1 hour.

A dose of muroosa balm sufficient for treating sunburn costs 1 gp."
Hunting Trap,PHB,Gear,Trap,,Tinkers-Tools,General-Store,All-Access,Metal,,,25.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature."
Abacus,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,Wood,"Bone, Metal","Dye, Gem",2.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"an oblong frame with rows of wires or grooves along which beads are slid, used for calculating"
Acid (vial),PHB,Gear,Travelers,,Alchemists-Supplies,Potion-Shop,Town-Access,Fluid,Vial,"Flesh, Gem, Metal ,Mineral, Plant",-,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage."
Adjustable Stilts,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,Town-Access,"Wood, Metal",Metal,,8.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,The stilts take 1 minute to put on or remove. They increase the height of any humanoid wearing them by 2 to 5 feet. Each stilt weighs 8 pounds and is 1 foot long when fully collapsed.
Alchemists Fire (flask),PHB,Gear,Travelers,,Alchemists-Supplies,Potion-Shop,Town-Access,Fluid,Flask,"Flesh, Gem, Metal ,Mineral, Plant",1.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemists fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames."
Backpack Parachute,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,City-Access,"Hide, Textile",,"Bone, Dye, Gem ,Metal, Mineral",5.00,8.00,64.00,16.00,24.00,48.00,32.00,80.00,140.00,100.00,"A humanoid wearing this piece of gear can deploy the parachute as a reaction while falling, or as an action otherwise. The parachute requires at least a 10-foot cube of unoccupied space in which to deploy, and it doesnt open fast enough to slow a fall of less than 60 feet. If it has sufficient time and space to deploy properly, the parachute allows its wearer to land without taking falling damage. Once it has been used, the parachute takes 10 minutes to repack."
"Ball Bearings (1,000)",PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,,,2.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"As an action, you can spill these tiny metal balls from their pouch to cover a level area 10 feet square. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesnt need to make the saving throw."
Barking Box,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,City-Access,Wood,Metal,,-,6.00,48.00,12.00,18.00,36.00,24.00,60.00,105.00,75.00,"This metal cube, 6 inches on a side, has a crank on top. Using an action to wind the crank activates the box for 8 hours. While activated, the box barks whenever it detects vibrations within 15 feet of it, as long as the box and the source of the vibrations are in contact with the same ground or substance. A switch on one side of the box sets the device to emit either a small dogs bark or a large dogs bark."
Basket,PHB,Gear,Travelers,,Weavers-Tools,Tailor,All-Access,"Plant, Textile",,Dye,2.00,0.03,0.26,0.06,0.10,0.19,0.13,0.32,0.56,0.40,A basket holds 2 cubic feet or 40 pounds of gear.
Bedroll,PHB,Gear,Travelers,,Weavers-Tools,Tailor,All-Access,"Hide, Textile",,Dye,7.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,a sleeping bag or other bedding rolled into a bundle
Bell,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,Metal,,,-,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"a device that includes or sounds like a bell, used to give a signal or warning."
Blanket,PHB,Gear,Travelers,,Weavers-Tools,Tailor,All-Access,"Hide, Textile",,Dye,3.00,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,a large piece of woolen or similar material used as a bed covering or other covering for warmth.
Blasting Powder,EGW,Gear,Travelers,,Alchemists-Supplies,Potion-Shop,Town-Access,Mineral,Pouch,Dye,-,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"This volatile alchemical powder comes in a small pouch. When ignited by an open flame or a fuse, the powder explodes. Each creature within 5 feet of the exploding pouch must make a DC 13 Dexterity saving throw, taking 3d6 bludgeoning damage on a failed save, or half as much damage on a successful one.

A character can bind multiple pouches of blasting powder together so they explode at the same time. Each additional pouch increases the damage by 1d6 (maximum of 10d6) and the blast radius by 5 feet (maximum of 20 feet)."
Block and Tackle,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,"Metal, Textile, Wood",,,5.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift."
Book,PHB,Gear,Travelers,,Calligraphers-Supplies,Library,Town-Access,"Hide, Textile",,"Dye, Gem, Metal, Mineral",5.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook."
"Bottle, Glass",PHB,Gear,Travelers,,Glassblowers-Tools,General-Store,All-Access,Glass,,"Dye, Metal, Mineral",2.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,A bottle holds 1½ pints of liquid.
Caltrops (20),PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,,,2.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesnt need to make the saving throw."
Candle,PHB,Gear,Travelers,,Potters-Tools,General-Store,All-Access,Wax,"Plant, Textile","Dye, Perfume",-,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet."
"Case, container",PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,"Bone, Wood",Wax,"Dye, Gem, Leather ,Metal, Textile",1.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,a container designed to hold or protect something.
"Case, Crossbow Bolt",PHB,Gear,Travelers,,Woodcarvers-Tools,Fletcher,All-Access,Wood,,"Dye, Gem, Hide, Metal, Textile",1.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,This wooden case can hold up to twenty crossbow bolts.
Chain (10 feet),PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,,,10.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.
Chalk,PHB,Gear,Travelers,,Painters-Supplies,General-Store,All-Access,Chalk,,Dye,-,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,a soft white limestone (calcium carbonate) formed from the skeletal remains of sea creatures; used to write or mark dry surfaces
Climbers Kit,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,Town-Access,"Hide, Textile",Metal,Dye,12.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"A climbers kit includes special pitons, boot tips, gloves, and a harness. You can use the climbers kit as an action to anchor yourself; when you do, you cant fall more than 25 feet from the point where you anchored yourself, and you cant climb more than 25 feet away from that point without undoing the anchor."
Component Pouch,PHB,Gear,Travelers,,Alchemists-Supplies,Potion-Shop,Town-Access,Special,Pouch,Dye,2.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,"A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spells description)."
Crampons,PHB,Gear,Travelers,,Cobblers-Tools,General-Store,All-Access,Metal,,,0.25,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons cant fall prone while moving across slippery ice.
Crowbar,PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,,,5.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,Using a crowbar grants advantage to Strength checks where the crowbars leverage can be applied.
Flask or Tankard,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,"Bone, Earthenware, Metal, Glass",,"Dye, Gem, Mineral",1.00,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.03,0.02,Holds 1 pint of liquid.
Grappling Hook,PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,,,4.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"a device with iron claws, attached to a rope and used for dragging or grasping"
Hammer,PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Wood,"Bone, Metal","Dye, Gem, Hide, Textile",3.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"a tool with a heavy metal head mounted at right angles at the end of a handle, used for jobs such as breaking things and driving in nails."
"Hammer, Sledge",PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,"Bone, Wood","Dye, Gem, Hide, Textile",10.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"a large, heavy hammer used for such jobs as breaking rocks and driving in fence posts."
Hourglass,PHB,Gear,Travelers,,Glassblowers-Tools,General-Store,Town-Access,Glass,"Mineral, Wood","Bone, Dye, Gem, Metal",1.00,2.00,16.00,4.00,6.00,12.00,8.00,20.00,35.00,25.00,an invertible device with two connected glass bulbs containing sand that takes an hour to pass from the upper to the lower bulb.
Ink (1 oz),PHB,Gear,Travelers,,Calligraphers-Supplies,Library,Town-Access,Fluid,Dye,,-,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00," colored fluid used for writing, drawing, printing, or duplicating."
Ink Pen,PHB,Gear,Travelers,,Calligraphers-Supplies,Library,All-Access,"Bone, Wood",Metal,"Dye, Gem, Mineral",-,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.03,0.02,an instrument for writing or drawing with ink
Insect Repellent,PHB,Gear,Travelers,,Alchemists-Supplies,Potion-Shop,All-Access,Plant,Wax,,-,0.01,0.06,0.02,0.02,0.05,0.03,0.08,0.14,0.10,"Insect repellent can be purchased in Port Nyanzaru in two forms: blocks of incense or a greasy salve. The merchant prince Kwayothe controls the sale of both. Neither kind of repellent protects against giant insects or the vile swarms of insects described in appendix A of the Monster Manual.

When lit, it burns for 8 hours and repels normal insects within a 20-foot-radius centered on it."
Jug or Pitcher,PHB,Gear,Travelers,,Potters-Tools,General-Store,All-Access,Earthenware,,"Dye, Gem, Metal ,Mineral, Wax",4.00,0.00,0.01,0.00,0.00,0.01,0.01,0.02,0.03,0.02,A jug holds 1 gallon of liquid.
Lamp,PHB,Gear,Travelers,,Potters-Tools,General-Store,All-Access,Earthenware,"Textile, Wax","Dye, Gem, Metal, Mineral",1.00,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,"A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil."
"Lantern, Bullseye",PHB,Gear,Travelers,,Tinkers-Tools,General-Store,Town-Access,Metal,"Textile, Wax","Dye, Gem, Glass",2.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil."
"Lantern, Hooded",PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,Metal,"Textile, Wax","Dye, Gem, Glass",2.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius."
Lock,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,Town-Access,Metal,,,1.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"A key is provided with the lock. Without the key, a creature proficient with thieves tools can pick this lock with a successful DC 15 Dexterity check. Your DM may decide that better locks are available for higher prices."
Magnifying Glass,PHB,Gear,Travelers,,Glassblowers-Tools,General-Store,City-Access,Glass,Wood,"Gem, Mineral",-,8.00,64.00,16.00,24.00,48.00,32.00,80.00,140.00,100.00,"This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed."
Manacles,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,Metal,,,6.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves tools can pick the manacles lock with a successful DC 15 Dexterity check. Manacles have 15 hit points."
Matchless Pipe,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,Wood,Mineral,,-,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"A switch made of flint is built into the bowl of this fine wooden smoking pipe. With a few flicks of the switch, the pipe lights itself."
Mess Kit,PHB,Gear,Travelers,,Potters-Tools,General-Store,All-Access,"Bone, Metal, Wood",,"Dye, Gem, Mineral, Textile",1.00,0.02,0.13,0.03,0.05,0.10,0.06,0.16,0.28,0.20,"This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl."
"Mirror, Steel",PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,,,0.50,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"a reflective surface, made of steel, that reflects a clear image."
Oil (Flask),PHB,Gear,Travelers,,Alchemists-Supplies,Potion-Shop,All-Access,Fluid,Flask,"Flesh, Gem, Metal, Mineral, Perfume, Plant",1.00,0.01,0.06,0.02,0.02,0.05,0.03,0.08,0.14,0.10,"Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn."
Paper (one sheet),PHB,Gear,Travelers,,Calligraphers-Supplies,Library,All-Access,Textile,,Dye,-,0.02,0.13,0.03,0.05,0.10,0.06,0.16,0.28,0.20,"material manufactured in thin sheets from the pulp of wood or other fibrous substances, used for writing, drawing, or printing on, or as wrapping material."
Parchment (one sheet),PHB,Gear,Travelers,,Calligraphers-Supplies,Library,All-Access,Hide,,Dye,-,0.01,0.06,0.02,0.02,0.05,0.03,0.08,0.14,0.10,"a stiff, flat, thin material made from the prepared skin of an animal and used as a durable writing surface"
Perfume (vial),PHB,Gear,Travelers,,Alchemists-Supplies,Potion-Shop,All-Access,"Fluid, Plant, Spice",Vial,"Flesh, Gem, Metal ,Mineral, Plant",-,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"a fragrant liquid typically made from essential oils extracted from flowers and spices, used to impart a pleasant smell to ones body or clothes."
"Pick, Miners",PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Wood,"Bone, Metal","Dye, Gem",10.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"a tool consisting of a long handle set at right angles in the middle of a curved iron or steel bar with a point at one end and a chisel edge or point at the other, used for breaking up hard ground or rock."
Piton,PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,,,0.25,0.00,0.03,0.01,0.01,0.02,0.02,0.04,0.07,0.05,a peg or spike driven into a rock or crack to support a climber or a rope.
"Pot, Iron",PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,,"Dye, Gem",10.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,An iron pot holds 1 gallon of liquid.
Robes,PHB,Gear,Travelers,,Weavers-Tools,Tailor,All-Access,Textile,,"Bone, Dye, Gem, Metal",4.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"a long, loose outer garment."
"Rope, Hempen (50 feet)",PHB,Gear,Travelers,,Weavers-Tools,Tailor,All-Access,Textile,,Dye,10.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,"Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
"Rope, Silk (50 feet)",PHB,Gear,Travelers,,Weavers-Tools,Tailor,Town-Access,Silk,,Dye,5.00,0.80,6.40,1.60,2.40,4.80,3.20,8.00,14.00,10.00,"Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 20 Strength check."
"Scale, Merchants",PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,"Metal, Wood",Bone,"Dye, Gem",3.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth."
Sealing Wax,PHB,Gear,Travelers,,Calligraphers-Supplies,Library,All-Access,Wax,,"Dye, Gem, Metal ,Mineral, Perfume",-,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,"a mixture of beeswax and pigment, softened by heating and used to make seals."
Shovel,PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Wood,Metal,,5.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"a tool with a broad flat blade and typically upturned sides, used for moving coal, earth, snow or other material."
Signal Whistle,PHB,Gear,Travelers,,Tinkers-Tools,General-Store,All-Access,"Bone, Metal, Wood",,,-,0.00,0.03,0.01,0.01,0.02,0.02,0.04,0.07,0.05,A small whistle used for signaling
Signet Ring,PHB,Gear,Travelers,,Jewelers-Tools,Jeweler,All-Access,Mineral,,"Gem, Metal",-,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,"Each signet ring has a distinctive design carved into it. When you press this ring into warm sealing wax, you leave an identifying mark."
Snowshoes,IDRotF,Gear,Travelers,,Cobblers-Tools,General-Store,All-Access,"Hide, Textile",,,4.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,Snowshoes reduce the likelihood of their wearer getting stuck in the deep snow.
Spellbook,PHB,Gear,Travelers,,Calligraphers-Supplies,Library,Town-Access,Textile,"Wood, Bone, Metal","Dye, Gem, Metal, Mineral",3.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,"Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells."
"Spikes, Iron (10)",PHB,Gear,Travelers,,Smiths-Tools,Blacksmith,All-Access,Metal,,,5.00,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,Standard iron spikes typically used with a hammer.
Spyglass,PHB,Gear,Travelers,,Glassblowers-Tools,General-Store,Premium-Access,"Bone, Hide, Metal, Wood",Gem,"Dye, Gem, Mineral, Textile",1.00,80.00,640.00,160.00,240.00,480.00,320.00,800.00,"1,400.00","1,000.00",Objects viewed through a spyglass are magnified to twice their size.
"Tent, Two-Person",PHB,Gear,Travelers,,Weavers-Tools,Tailor,All-Access,"Hide, Textile",,"Dye, Gem, Metal ,Mineral, Wax",20.00,0.16,1.28,0.32,0.48,0.96,0.64,1.60,2.80,2.00,"A simple and portable canvas shelter, a tent sleeps two."
Vial,PHB,Gear,Travelers,,Glassblowers-Tools,General-Store,All-Access,"Earthenware, Glass",,"Dye, Gem, Metal ,Mineral, Wax",-,0.08,0.64,0.16,0.24,0.48,0.32,0.80,1.40,1.00,A vial can hold up to 4 ounces of liquid.
Adamantine Bar,WDH,Material,Trade-Good,,Smiths-Tools,Blacksmith,Premium-Access,Adamantine,,,10.00,80.00,640.00,160.00,750.00,"1,500.00","1,000.00",800.00,"1,400.00","1,000.00",Adamantine Ingots used extensively for trading and investment
Copper Bar,PHB,Material,Trade-Good,,Smiths-Tools,Blacksmith,All-Access,Metal,,,1.00,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,Copper Ingots used extensively for forging and casting.
Cotton (1 sq yd),PHB,Material,Trade-Good,,Weavers-Tools,Tailor,All-Access,Hide,,,-,0.04,0.32,0.08,0.12,0.24,0.16,0.40,0.70,0.50,a soft white fibrous substance that surrounds the seeds of a tropical and subtropical plant and is used as textile fiber and thread for sewing.
Gold Bar,PHB,Material,Trade-Good,,Smiths-Tools,Blacksmith,Town-Access,Metal,,,1.00,4.00,32.00,8.00,12.00,24.00,16.00,40.00,70.00,50.00,Gold Ingots used extensively for trading and investment
Iron Bar,PHB,Material,Trade-Good,,Smiths-Tools,Blacksmith,All-Access,Metal,,,1.00,0.01,0.06,0.02,0.02,0.05,0.03,0.08,0.14,0.10,Iron Ingots used extensively for forging and casting.
Linen (1 sq. yd.),PHB,Material,Trade-Good,,Weavers-Tools,Tailor,All-Access,Plant,,,-,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,cloth woven from flax
Platinum Bar,PHB,Material,Trade-Good,,Smiths-Tools,Blacksmith,City-Access,Metal,,,1.00,40.00,320.00,80.00,120.00,240.00,160.00,400.00,700.00,500.00,Platinum Ingots used extensively for trading and investment
Silver Bar,PHB,Material,Trade-Good,,Smiths-Tools,Blacksmith,All-Access,Metal,,,1.00,0.40,3.20,0.80,1.20,2.40,1.60,4.00,7.00,5.00,Silver Ingots used extensively for trading and investment
"Barding, Breastplate",PHB,Tack-and-Harness,Armor,,Smiths-Tools,Blacksmith,Premium-Access,Metal,,Dye,40.00,128.00,"1,024.00",256.00,384.00,768.00,512.00,"1,280.00","2,240.00","1,600.00","Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearers vital organs while leaving the wearer relatively unencumbered."
"Barding, Chain Mail",PHB,Tack-and-Harness,Armor,,Smiths-Tools,Blacksmith,City-Access,Metal,,Dye,110.00,24.00,192.00,48.00,72.00,144.00,96.00,240.00,420.00,300.00,"Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets."
"Barding, Chain Shirt",PHB,Tack-and-Harness,Armor,,Smiths-Tools,Blacksmith,City-Access,Metal,,Dye,40.00,16.00,128.00,32.00,48.00,96.00,64.00,160.00,280.00,200.00,"Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearers upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
"Barding, Half Plate",PHB,Tack-and-Harness,Armor,,Smiths-Tools,Blacksmith,Special-Access,Metal,,Dye,80.00,240.00,"1,920.00",480.00,720.00,"1,440.00",960.00,"2,400.00","4,200.00","3,000.00","Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

Half plate consists of shaped metal plates that cover most of the wearers body. It does not include leg protection beyond simple greaves that are attached with leather straps."
"Barding, Hide",PHB,Tack-and-Harness,Armor,,Leatherworkers-Tools,Leatherworker,Town-Access,Hide,,Dye,24.00,3.20,25.60,6.40,9.60,19.20,12.80,32.00,56.00,40.00,"Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
"Barding, Leather",PHB,Tack-and-Harness,Armor,,Leatherworkers-Tools,Leatherworker,Town-Access,"Hide, Textile",,Dye,20.00,3.20,25.60,6.40,9.60,19.20,12.80,32.00,56.00,40.00,"Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials."
"Barding, Plate",PHB,Tack-and-Harness,Armor,,Smiths-Tools,Blacksmith,Special-Access,Metal,,Dye,130.00,480.00,"3,840.00",960.00,"1,440.00","2,880.00","1,920.00","4,800.00","8,400.00","6,000.00","Barding is armor designed to protect an animals head, neck, chest, and body. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.

This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and its usually worn only by those who cant afford better armor."
